formula,Temperature,zt,k,c,s
Bi0.85Ba0.15Cu1Se1O1,700,0.55,0.5395,250.283,142.431
Bi1Cu1Se1O1,700,0.18,0.3695,4.633,407.716
Bi0.975Mg0.025Cu1Se1O1,700,0.2,0.3507,7.004,415.14599999999996
Bi0.950Mg0.050Cu1Se1O1,700,0.24,0.3415,8.472000000000001,340.017
Bi0.900Mg0.100Cu1Se1O1,700,0.24,0.3264,11.675999999999998,307.406
Bi0.875Mg0.125Cu1Se1O1,700,0.28,0.3194,16.445999999999998,278.097
Bi1Cu1Se1O1,700,0.45,0.5397,31.787,325.466
B0.975Ca0.025Cu1Se1O1,700,0.39,0.5808,49.006,253.984
Bi0.950Ca0.025Cu1Se1O1,700,0.63,0.6017,86.75399999999999,249.19
Bi0.900Ca0.100Cu1Se1O1,700,0.63,0.7312,211.25799999999998,176.40099999999998
Bi0.875Ca0.125Cu1Se1O1,700,0.66,0.7528,262.251,164.632
Bi1Cu1Se1O1,700,0.08,0.6636,4.6,406.517
Bi0.995Na0.025Cu1Se1O1,700,0.53,0.605,41.843,327.191
Bi0.99Na0.01Cu1Se1O1,700,0.47,0.605,43.693999999999996,300.899
Bi0.985Na0.015Cu1Se1O1,700,0.66,0.5358,52.806000000000004,306.29200000000003
Bi1Cu1Se1O1,700,0.23,0.5893,11.503,409.476
Bi0.975Cu1Se1O1,700,0.44,0.436,19.898,371.371
Bi1Cu0.975Se1O1,700,0.53,0.3931,35.418,332.325
Bi0.975Cu0.975Se1O1,700,0.71,0.5275,41.979,308.33299999999997
Bi1Cu1Se1O1,700,0.38,0.5611,27.38,334.884
Bi0.94La0Pb0.06Cu1Se1O1,700,0.53,1.0067,200.959,195.736
Bi0.93La0.01Pb0.06Cu1Se1O1,700,0.63,1.0316,260.045,191.86
Bi0.92La0.02Pb0.06Cu1Se1O1,700,0.58,1.0138,260.045,179.457
Bi0.9La0.04Pb0.06Cu1Se1O1,700,0.61,0.8585,217.738,185.65900000000002
Bi1Cu1Se1O1,700,0.16,0.42,6.871,363.093
Bi1Cu1Se10.98Te0.02O1,700,0.35,0.4922,20.49,347.795
Bi1Cu1Se0.96Te0.04O1,700,0.32,0.5446,18.066,369.042
Bi1Cu1Se0.94Te10.06O1,700,0.34,0.5847,22.089000000000002,360.543
Bi1Cu1Se0.92Te0.08O1,700,0.23,0.5118,12.395999999999999,372.158
Bi1Cu1Se0.90Te0.10O1,700,0.24,0.4411,13.607999999999999,340.713
Bi1Cu1Se0.8Te0.15O1,700,0.25,0.4462,23.930999999999997,263.659
Bi1Cu1Se0.80Te0.20O1,700,0.26,0.4521,14.868,337.597
Bi1Cu1Se1O1,700,0.23,0.4049,20.334,266.528
Bi0.96Pb0.04Cu1Se1O1,700,0.54,0.6398,155.387,176.505
Bi0.94Pb0.06Cu1Se1O1,700,0.52,0.53,126.555,175.09799999999998
Bi0.92Pb0.08Cu1Se1O1,700,0.75,0.5785,248.71,157.482
Bi0.9Pb0.1Cu1Se1O1,700,0.68,0.6474,280.577,149.201
Bi1Cu1Se1O1,700,0.28,0.4848,19.090999999999998,319.67400000000004
Bi0.94La0.06Cu1Se1O1,700,0.25,0.5552,28.295,264.994
Bi0.92La0.08Cu1Se1O1,700,0.26,0.5869,36.931999999999995,244.305
Bi0.90La0.1Cu1Se1O1,700,0.27,0.6317,42.727,235.80700000000002
Bi0.875La0.125Cu1Se1O1,700,0.28,0.6855,55.909,218.812
Bi1Cu1Se1O1,700,0.35,0.4858,19.07,355.135
Bi0.94Ag0.06Cu1Se1O1,700,0.32,0.4802,20.233,324.865
Bi0.92Ag0.08Cu1Se1O1,700,0.42,0.423,22.733,331.351
Bi1Cu1Se1O1,700,0.17,0.4162,7.739,368.86400000000003
Bi0.98Ca0.01Pb0.01Cu1Se1O1,700,0.42,0.4849,57.215,224.93400000000003
Bi0.96Ca0.02Pb0.02Cu1Se1O1,700,0.52,0.5329999999999999,86.273,213.55900000000003
Bi0.92Ca0.0Pb0.04Cu1Se1O1,700,0.66,0.5276,148.315,183.702
Bi0.8Ca0.1Pb0.1Cu1Se1O1,700,0.74,0.5710000000000001,273.184,148.86700000000002
Bi1Cu1Se1O1,700,0.12,0.4462,4.77,405.99
Bi1Na0Cu1Se1O1F0,700,0.01,0.5355,1.141,178.043
Bi0.95Na0.050Cu1Se1O0.95F0.05,700,0.09,0.5732,7.343,328.69800000000004
Bi0.90Na0.100Cu1Se1O0.90F0.10,700,0.06,0.5573,6.93,259.265
Bi0.85Na0.15Cu1Se1O0.85F0.15,700,0.1,0.5474,9.594,259.265
