sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,var_Number,var_MendeleevNumber,var_AtomicWeight,var_MeltingT,var_Column,var_Row,var_CovalentRadius,var_Electronegativity,var_NsValence,var_NpValence,var_NdValence,var_NfValence,var_NValence,var_NsUnfilled,var_NpUnfilled,var_NdUnfilled,var_NfUnfilled,var_NUnfilled,var_GSvolume_pa,var_GSbandgap,var_GSmagmom,var_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber
153.65,325.84,366.520106,2451.4682,57.97,15.99,465.96,9.9067,7,10.97,30,13.86,61.83,1,6.97,0,0,7.97,78.91045,0.799,0,264.82,38.4125,81.46,91.6300265,612.86705,14.4925,3.9975,116.49,2.476675,1.75,2.7425,7.5,3.465,15.4575,0.25,1.7425,0,0,1.9925,19.7276125,0.19975,0,66.205,75,25,192.981,1302.97,5,4,82,1.75,1,4,10,14,23,1,3,0,0,3,23.845,0.799,0,213,618.64,103.76,4155.521858,177082.1508,4.4,1.76,880,0.39412,0.16,3.36,16,31.36,60.56,0.16,1.44,0,0,1.04,80.204706,0.10214416,0,9395.04
152.25,325.2,362.65733,2453.461,57.85,15.95,465.8,9.8935,7,10.85,30,13.3,61.15,1,6.85,0,0,7.85,78.37225,0.799,0,272.1,38.0625,81.3,90.6643325,613.36525,14.4625,3.9875,116.45,2.473375,1.75,2.7125,7.5,3.325,15.2875,0.25,1.7125,0,0,1.9625,19.5930625,0.19975,0,68.025,75,25,192.981,1302.97,5,4,82,1.75,1,4,10,14,23,1,3,0,0,3,23.845,0.799,0,213,618.64,103.76,4155.521858,177082.1508,4.4,1.76,880,0.39412,0.16,3.36,16,31.36,60.56,0.16,1.44,0,0,1.04,80.204706,0.10214416,0,9395.04
150.5,324.4,357.82886,2455.952,57.7,15.9,465.6,9.877,7,10.7,30,12.6,60.3,1,6.7,0,0,7.7,77.6995,0.799,0,281.2,37.625,81.1,89.457215,613.988,14.425,3.975,116.4,2.46925,1.75,2.675,7.5,3.15,15.075,0.25,1.675,0,0,1.925,19.424875,0.19975,0,70.3,75,25,192.981,1302.97,5,4,82,1.75,1,4,10,14,23,1,3,0,0,3,23.845,0.799,0,213,618.64,103.76,4155.521858,177082.1508,4.4,1.76,880,0.39412,0.16,3.36,16,31.36,60.56,0.16,1.44,0,0,1.04,80.204706,0.10214416,0,9395.04
154.18,326.01,367.929022,2449.7416,58,16.01,466.13,9.9103,7,11,30,14,62,1,7,0,0,8,79.0976,0.799,0,263,38.545,81.5025,91.9822555,612.4354,14.5,4.0025,116.5325,2.477575,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.7744,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,615.76,126.16,4128.965522,238966.0232,5.36,1.76,888.96,0.342856,0.24,3.36,16,31.36,61.84,0.24,1.44,0,0,0.56,82.07712,0.10214416,0,10821.04
154.54,326.03,368.815466,2447.2848,58,16.03,466.39,9.9109,7,11,30,14,62,1,7,0,0,8,79.2028,0.799,0,263,38.635,81.5075,92.2038665,611.8212,14.5,4.0075,116.5975,2.477725,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.8007,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,615.76,126.16,4128.965522,238966.0232,5.36,1.76,888.96,0.342856,0.24,3.36,16,31.36,61.84,0.24,1.44,0,0,0.56,82.07712,0.10214416,0,10821.04
154,326,367.4858,2450.97,58,16,466,9.91,7,11,30,14,62,1,7,0,0,8,79.045,0.799,0,263,38.5,81.5,91.87145,612.7425,14.5,4,116.5,2.4775,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.76125,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,755.25,103.25,5110.0277,221284.0719,4.25,2,948.75,0.36861875,0.1875,2.6875,18.75,36.75,73.25,0.1875,1.1875,0,0,0.5,100.2417047,0.119700188,0,8454.1875
153.84,325.995,367.049698,2452.7669,58,15.995,465.955,9.91015,7,11,30,13.93,61.93,1,7,0,0,8,79.03805,0.799,0,263.77,38.46,81.49875,91.7624245,613.191725,14.5,3.99875,116.48875,2.4775375,1.75,2.75,7.5,3.4825,15.4825,0.25,1.75,0,0,2,19.7595125,0.19975,0,65.9425,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,629.2,84.56,4230.954227,190579.7098,3.44,1.76,840,0.324136,0.16,2.16,16,31.36,58.64,0.16,1.2,0,0,0.56,102.467044,0.10214416,0,8371.36
153.36,325.98,365.741392,2458.1576,58,15.98,465.82,9.9106,7,11,30,13.72,61.72,1,7,0,0,8,79.0172,0.799,0,266.08,38.34,81.495,91.435348,614.5394,14.5,3.995,116.455,2.47765,1.75,2.75,7.5,3.43,15.43,0.25,1.75,0,0,2,19.7543,0.19975,0,66.52,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,629.2,84.56,4230.954227,190579.7098,3.44,1.76,840,0.324136,0.16,2.16,16,31.36,58.64,0.16,1.2,0,0,0.56,102.467044,0.10214416,0,8371.36
152.4,325.95,363.12478,2468.939,58,15.95,465.55,9.9115,7,11,30,13.3,61.3,1,7,0,0,8,78.9755,0.799,0,270.7,38.1,81.4875,90.781195,617.23475,14.5,3.9875,116.3875,2.477875,1.75,2.75,7.5,3.325,15.325,0.25,1.75,0,0,2,19.743875,0.19975,0,67.675,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,629.2,84.56,4230.954227,190579.7098,3.44,1.76,840,0.324136,0.16,2.16,16,31.36,58.64,0.16,1.2,0,0,0.56,102.467044,0.10214416,0,8371.36
151.44,325.92,360.508168,2479.7204,58,15.92,465.28,9.9124,7,11,30,12.88,60.88,1,7,0,0,8,78.9338,0.799,0,275.32,37.86,81.48,90.127042,619.9301,14.5,3.98,116.32,2.4781,1.75,2.75,7.5,3.22,15.22,0.25,1.75,0,0,2,19.73345,0.19975,0,68.83,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,629.2,84.56,4230.954227,190579.7098,3.44,1.76,840,0.324136,0.16,2.16,16,31.36,58.64,0.16,1.2,0,0,0.56,102.467044,0.10214416,0,8371.36
